Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
50.7,27.783,26.123,1.5,0.0,0.0
50.8,27.783,26.123,1.5,0.0,0.0
50.9,27.832,26.123,1.5,0.0,0.0
51.0,27.832,26.172,1.5,0.0,0.0
51.1,27.832,26.123,1.5,0.0,0.0
51.2,27.832,26.172,1.5,0.0,0.0
51.3,27.832,26.172,1.5,0.0,0.0
51.4,27.881,26.172,1.5,0.0,0.0
51.5,27.881,26.172,1.5,0.0,0.0
51.6,27.881,26.172,1.5,0.0,0.0
51.7,27.881,26.172,1.5,0.0,0.0
51.8,27.881,26.172,1.5,0.0,0.0
51.9,27.93,26.221,1.5,0.0,0.0
52.0,27.93,26.221,1.5,0.0,0.0
52.1,27.93,26.221,1.5,0.0,0.0
52.2,27.93,26.221,1.5,0.0,0.0
52.3,27.93,26.221,1.5,0.0,0.0
52.4,27.979,26.221,1.5,0.0,0.0
52.5,27.93,26.221,1.5,0.0,0.0
52.6,27.93,26.27,1.5,0.0,0.0
52.7,27.979,26.27,1.5,0.0,0.0
52.8,27.979,26.221,1.5,0.0,0.0
52.9,27.979,26.221,1.5,0.0,0.0
53.0,27.979,26.27,1.5,0.0,0.0
53.1,27.979,26.221,1.5,0.0,0.0
53.2,28.027,26.27,1.5,0.0,0.0
53.3,28.027,26.221,1.5,0.0,0.0
53.4,28.027,26.27,1.5,0.0,0.0
53.5,28.027,26.27,1.5,0.0,0.0
53.6,28.027,26.27,1.5,0.0,0.0
53.7,28.027,26.27,1.5,0.0,0.0
53.8,28.076,26.27,1.5,0.0,0.0
53.9,28.027,26.27,1.5,0.0,0.0
54.0,28.076,26.27,1.5,0.0,0.0
54.1,28.076,26.27,1.5,0.0,0.0
54.2,28.076,26.318,1.5,0.0,0.0
54.3,28.076,26.318,1.5,0.0,0.0
54.4,28.125,26.318,1.5,0.0,0.0
54.5,28.125,26.318,1.5,0.0,0.0
54.6,28.125,26.318,1.5,0.0,0.0
54.7,28.125,26.318,1.5,0.0,0.0
54.8,28.174,26.367,1.5,0.0,0.0
54.9,28.174,26.367,1.5,0.0,0.0
55.0,28.174,26.318,1.5,0.0,0.0
55.1,28.174,26.367,1.5,0.0,0.0
55.2,28.174,26.367,1.5,0.0,0.0
55.3,28.174,26.367,1.5,0.0,0.0
55.4,28.174,26.367,1.5,0.0,0.0
55.5,28.223,26.367,1.5,0.0,0.0
55.6,28.223,26.367,1.5,0.0,0.0
55.7,28.223,26.367,1.5,0.0,0.0
55.8,28.174,26.367,1.5,0.0,0.0
55.9,28.223,26.367,1.5,0.0,0.0
56.0,28.223,26.367,1.5,0.0,0.0
56.1,28.223,26.416,1.5,0.0,0.0
56.2,28.271,26.416,1.5,0.0,0.0
56.3,28.271,26.416,1.5,0.0,0.0
56.4,28.271,26.416,1.5,0.0,0.0
56.5,28.271,26.416,1.5,0.0,0.0
56.6,28.271,26.367,1.5,0.0,0.0
56.7,28.271,26.416,1.5,0.0,0.0
56.8,28.271,26.416,1.5,0.0,0.0
56.9,28.32,26.416,1.5,0.0,0.0
57.0,28.271,26.416,1.5,0.0,0.0
57.1,28.32,26.416,1.5,0.0,0.0
57.2,28.32,26.416,1.5,0.0,0.0
57.3,28.32,26.416,1.5,0.0,0.0
